"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHEL","EQ","24-Oct-2016","        141.70","        142.40","        142.70","        141.00","        141.25","        141.25","        141.78","    3387593","       4803.06","      18507","    1131740","         33.41"
"BHEL","EQ","25-Oct-2016","        141.25","        141.40","        142.30","        138.65","        140.30","        140.10","        140.61","    3889544","       5469.28","      19990","     917961","         23.60"
"BHEL","EQ","26-Oct-2016","        140.10","        139.75","        141.80","        138.75","        139.25","        139.30","        140.14","    4901590","       6869.23","      23850","    1473957","         30.07"
"BHEL","EQ","27-Oct-2016","        139.30","        139.00","        139.20","        136.15","        138.50","        138.25","        137.85","    4595440","       6334.89","      22793","    1277162","         27.79"
"BHEL","EQ","28-Oct-2016","        138.25","        138.50","        139.95","        138.10","        139.00","        138.95","        138.85","    4573165","       6349.93","      19131","    1786574","         39.07"
"BHEL","EQ","30-Oct-2016","        138.95","        140.00","        140.20","        138.50","        138.85","        139.00","        139.16","     546452","        760.43","       4123","     277834","         50.84"
